Game,Season,Date,Round,HomeTeam,AwayTeam,Winner,SeasonPointsBy,SeasonPointsAgainst,SeasonPerformance,Ranking,PointsBy_Last_1,PointsAgainst_Last_1,Performance_Last_1,PointsBy_Last_2,PointsAgainst_Last_2,Performance_Last_2,PointsBy_Last_3,PointsAgainst_Last_3,Performance_Last_3,PointsBy_Last_4,PointsAgainst_Last_4,Performance_Last_4,PointsBy_Last_5,PointsAgainst_Last_5,Performance_Last_5
11765,2000,2000-04-09,R5,North Melbourne,Hawthorn,Home,107.0,-2.0,2.0,1.0,14.0,-38.0,2.0,37.0,-3.5,1.0,27.333333333333343,-5.333333333333343,0.6666666666666666,26.75,-0.5,0.5,26.75,-0.5,0.5
11767,2000,2000-04-09,R5,Port Adelaide,Richmond,Away,-10.0,48.0,0.0,0.0,62.0,18.0,2.0,11.0,-5.5,1.0,7.333333333333329,-5.333333333333343,0.6666666666666666,-2.5,12.0,0.0,-2.5,12.0,0.0
11768,2000,2000-04-14,R6,Footscray,Essendon,Away,-80.0,92.0,-4.0,-2.0,-13.0,19.0,-2.0,-26.0,-6.0,-1.0,-11.666666666666671,-2.0,-0.6666666666666667,-13.75,11.5,-1.0,-16.0,18.39999999999999,-0.8
11772,2000,2000-04-15,R6,West Coast,Port Adelaide,Home,142.0,-97.0,2.0,1.0,7.0,49.0,0.0,22.5,8.0,0.0,22.33333333333333,-3.0,0.0,12.5,-13.0,0.0,28.39999999999999,-19.39999999999999,0.4
11771,2000,2000-04-15,R6,St Kilda,North Melbourne,Away,-159.0,12.0,-6.0,-3.0,-44.0,-10.0,-2.0,-36.5,28.0,-2.0,-42.33333333333333,12.666666666666671,-2.0,-37.0,8.0,-1.5,-31.799999999999997,2.4000000000000057,-1.2
11769,2000,2000-04-15,R6,Carlton,Brisbane Lions,Home,-31.0,-8.0,0.0,0.0,-23.0,31.0,-2.0,-35.0,-10.0,-1.0,-28.666666666666657,10.0,-0.6666666666666666,-17.75,8.0,-0.5,-6.200000000000003,-1.5999999999999943,0.0
11770,2000,2000-04-15,R6,Collingwood,Fremantle,Away,144.0,-57.0,6.0,3.0,43.0,4.0,2.0,30.5,9.0,1.0,44.33333333333333,-6.333333333333343,1.3333333333333335,27.75,-3.5,1.0,28.80000000000001,-11.399999999999991,1.2
11773,2000,2000-04-16,R6,Sydney,Richmond,Away,51.0,-46.0,2.0,1.0,10.0,44.0,-2.0,12.0,31.0,-1.0,5.333333333333343,2.0,0.0,2.75,-13.5,0.5,10.199999999999989,-9.200000000000003,0.3999999999999999
11774,2000,2000-04-16,R6,Geelong,Melbourne,Home,18.0,1.0,2.0,1.0,56.0,6.0,0.0,-5.0,17.5,-1.0,-4.333333333333343,3.0,0.0,-4.75,-3.0,0.0,3.5999999999999943,0.20000000000000284,0.40000000000000013
11775,2000,2000-04-16,R6,Adelaide,Hawthorn,Home,-46.0,46.0,-4.0,-2.0,-21.0,48.0,-2.0,-19.0,49.0,-1.0,-16.0,35.33333333333333,-1.3333333333333333,-17.0,13.75,-1.0,-9.200000000000003,9.200000000000017,-0.8
11778,2000,2000-04-22,R7,St Kilda,North Melbourne,Away,-207.0,35.0,-8.0,-4.0,-48.0,23.0,-2.0,-46.0,6.5,-2.0,-40.33333333333333,26.333333333333343,-2.0,-43.75,15.25,-2.0,-39.2,11.0,-1.6
11777,2000,2000-04-22,R7,Sydney,Geelong,Away,-80.0,55.0,-4.0,-2.0,-3.0,28.0,-2.0,-22.5,37.5,-2.0,-14.333333333333329,25.666666666666657,-1.3333333333333333,-7.0,22.75,-1.0,-17.0,12.400000000000006,-0.8
11776,2000,2000-04-22,R7,Hawthorn,Footscray,Home,-103.0,89.0,-2.0,-1.0,-24.0,-1.0,0.0,-10.5,-22.5,1.0,-9.666666666666657,11.0,0.0,-15.0,10.5,0.0,-11.599999999999994,11.400000000000006,0.0
11779,2000,2000-04-23,R7,Port Adelaide,Adelaide,Away,-64.0,99.0,0.0,0.0,-65.0,112.0,-2.0,-41.5,51.5,-1.0,-2.333333333333343,7.333333333333343,0.0,-3.25,13.0,0.0,-3.5999999999999943,14.800000000000011,0.0
11780,2000,2000-04-23,R7,Melbourne,West Coast,Home,-80.0,-6.0,0.0,0.0,-94.0,48.0,-2.0,-34.5,-19.5,0.0,-30.33333333333333,-12.333333333333343,0.0,-23.25,-6.75,0.0,-3.6000000000000085,2.200000000000003,0.3999999999999999
11781,2000,2000-04-24,R7,Richmond,Carlton,Away,-96.0,-13.0,0.0,0.0,-57.0,28.0,0.0,-23.0,-5.5,1.0,-6.0,-7.0,0.6666666666666666,7.25,-2.75,0.5,-7.599999999999994,1.3999999999999915,0.0
11783,2000,2000-04-25,R7,Fremantle,Essendon,Home,-270.0,204.0,-8.0,-4.0,-83.0,97.0,-2.0,-65.5,52.0,-2.0,-59.999999999999986,33.66666666666667,-1.3333333333333335,-54.0,34.25,-1.5,-44.19999999999999,27.400000000000006,-1.2
11782,2000,2000-04-25,R7,Collingwood,Brisbane Lions,Away,22.0,-89.0,4.0,2.0,-23.0,48.0,-2.0,-13.5,33.0,-1.0,-9.0,6.0,0.0,7.5,-1.25,0.5,-1.2000000000000028,-4.6000000000000085,0.40000000000000013
11784,2000,2000-04-28,R8,North Melbourne,Hawthorn,Away,185.0,8.0,4.0,2.0,6.0,25.0,0.0,31.5,-18.0,1.0,26.0,3.3333333333333286,0.6666666666666667,23.0,-7.0,1.0,30.400000000000006,0.6000000000000085,0.8
11785,2000,2000-04-29,R8,St Kilda,Adelaide,Away,-49.0,96.0,-4.0,-2.0,19.0,38.0,-2.0,-29.0,43.0,-2.0,-22.0,24.66666666666667,-1.3333333333333333,-16.0,13.0,-1.0,-9.600000000000009,11.400000000000006,-0.8
11786,2000,2000-04-29,R8,West Coast,Footscray,Home,100.0,-42.0,0.0,0.0,-15.0,15.0,0.0,41.0,-34.0,1.0,17.66666666666667,-8.000000000000014,0.6666666666666666,35.5,-2.5,0.5,23.39999999999999,2.4000000000000057,0.0
11788,2000,2000-04-30,R8,Geelong,Sydney,Away,89.0,-64.0,6.0,3.0,9.0,-9.0,2.0,6.0,-18.5,2.0,18.0,-28.0,2.0,13.0,-21.5,1.5,7.3999999999999915,-20.0,1.2000000000000002
11789,2000,2000-04-30,R8,Port Adelaide,Melbourne,Away,-209.0,232.0,-6.0,-3.0,-47.0,21.0,-2.0,-26.5,40.5,-1.0,-28.33333333333333,39.66666666666667,-1.3333333333333333,-25.25,37.5,-1.0,-24.200000000000003,33.0,-0.7999999999999999
11787,2000,2000-04-30,R8,Carlton,Richmond,Home,147.0,-38.0,2.0,1.0,51.0,-51.0,2.0,54.0,-39.5,1.0,32.33333333333334,-13.333333333333329,0.0,17.25,-7.5,0.0,4.3999999999999915,-8.0,0.0
11790,2000,2000-05-01,R8,Collingwood,Essendon,Away,-145.0,123.0,-4.0,-2.0,-40.0,40.0,-2.0,-51.0,36.5,-2.0,-35.66666666666666,28.0,-1.3333333333333335,-34.5,23.75,-1.0,-20.39999999999999,18.80000000000001,-0.8
11791,2000,2000-05-01,R8,Brisbane Lions,Fremantle,Away,132.0,-21.0,0.0,0.0,-11.0,11.0,-2.0,16.5,-50.5,0.0,26.66666666666667,-38.33333333333333,0.6666666666666666,24.5,-13.25,0.0,22.60000000000001,-13.400000000000006,0.0
11792,2000,2000-05-05,R9,Footscray,St Kilda,Home,140.0,-113.0,6.0,2.0,34.0,0.0,0.0,4.5,-3.0,0.0,8.0,11.0,0.0,12.5,10.25,0.0,14.599999999999994,-13.0,0.4
11795,2000,2000-05-06,R9,Richmond,North Melbourne,Home,-103.0,-112.0,-2.0,-1.0,80.0,-51.0,2.0,10.0,-24.0,0.0,6.0,-8.0,0.0,0.0,-15.0,0.0,-3.4000000000000057,-14.200000000000003,-0.40000000000000013
